index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SoTA,GA,Saves,Save%,home,game_id
0,11 Players,,,,,990,2.0,1.0,0.0,0.0,14.0,5.0,2.0,0.0,8.0,17.0,1.0,14.0,18.0,19.0,0.0,0.0,1.0,,,,,1,0
1,Abel Hernández,9.0,uy URU,FW,26-005,90,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1,0
2,Adama Diomande,20.0,no NOR,FW,26-181,90,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,1,0
3,Ahmed Elmohamady,27.0,eg EGY,RB,28-339,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,,,,,1,0
4,Andrew Robertson,3.0,sct SCO,LB,22-155,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,,,,,1,0
5,Curtis Davies,6.0,sl SLE,CB,31-151,90,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,,,,,1,0
6,David Meyler,7.0,ie IRL,CM,27-076,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,1,0
7,Eldin Jakupović,16.0,ch SUI,GK,31-316,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,100.0,1,0
8,Jake Livermore,14.0,eng ENG,CB,26-273,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,,1,0
9,Robert Snodgrass,10.0,sct SCO,FW,28-341,90,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,,,,,1,0
10,Sam Clucas,11.0,eng ENG,CM,25-323,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,,,,,1,0
11,Tom Huddlestone,8.0,eng ENG,CM,29-229,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,,,,,1,0
0,14 Players,,,,,990,1.0,0.0,1.0,1.0,18.0,5.0,2.0,0.0,17.0,9.0,0.0,12.0,10.0,9.0,0.0,1.0,0.0,,,,,0,0
1,Ahmed Musa,7.0,ng NGA,FW,23-304,90,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,0,0
2,Andy King,10.0,wls WAL,CM,27-289,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0,0
3,Christian Fuchs,28.0,at AUT,LB,30-128,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,,,,,0,0
