index,Player,#_x,Nation,Pos_x,Age,Min,Gls,Ast,PK,PKatt,Sh_x,SoT,CrdY_x,CrdR_x,Touches,Tkl_x,Int_x,Blocks_x,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,#_y,Pos_y,Tkl_y,TklW_x,Def 3rd,Mid 3rd,Att 3rd,Tkl_y,Att_y,Tkl%,Lost_x,Blocks_y,Sh_y,Pass,Int_y,Tkl+Int,Clr,Err,#,Pos,CrdY_y,CrdR_y,2CrdY,Fls,Fld,Off,Crs,Int,TklW_y,PKwon,PKcon,OG,Recov,Won,Lost_y,Won%,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,14 Players,,,,,990,2,1,1,1,7,5,2,0,648,26,17,15,1.5,0.7,0.7,14,3,418,522,80.1,27,311,15,14,11,,,26,13,14,9,3,9,18,50.0,9,15,5,10,17,43,36,0,,,2,0,0,11,7,4,12,17,13,0,0,0,64,9,13,40.9,,,,,,,,,,,,,,,,,,,,,1,0
1,Alexis Sánchez,7.0,cl CHI,"LW,LM",29-234,90,0,0,0,0,1,0,0,0,54,2,1,1,0.0,0.0,0.5,5,1,24,41,58.5,1,30,2,1,0,7.0,"LW,LM",2,2,0,1,1,0,1,0.0,1,1,0,1,1,3,0,0,7.0,"LW,LM",0,0,0,1,3,2,3,1,2,0,0,0,7,0,4,0.0,,,,,,,,,,,,,,,,,,,,,1,0
2,Andreas Pereira,15.0,br BRA,"CM,DM",22-221,90,0,0,0,0,0,0,1,0,71,3,5,1,0.0,0.0,0.0,0,0,54,59,91.5,3,38,0,1,1,15.0,"CM,DM",3,1,3,0,0,1,3,33.3,2,1,1,0,5,8,3,0,15.0,"CM,DM",1,0,0,4,0,0,1,5,1,0,0,0,11,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
3,David de Gea,1.0,es ESP,GK,27-276,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,7,23,30.4,0,7,0,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,4.0,1.0,3.0,75.0,1.4,3.0,16.0,18.8,17.0,1.0,64.7,44.4,5.0,100.0,60.6,23.0,0.0,0.0,0.0,9.0,1,0
4,Eric Bailly,3.0,ci CIV,CB,24-120,90,0,0,0,0,0,0,0,0,34,3,1,3,0.0,0.0,0.0,0,0,23,24,95.8,1,15,0,1,1,3.0,CB,3,2,3,0,0,3,3,100.0,0,3,1,2,1,4,6,0,3.0,CB,0,0,0,0,1,0,0,1,2,0,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
5,Fred,17.0,br BRA,RM,25-158,75,0,0,0,0,0,0,1,0,68,1,3,3,0.0,0.0,0.0,0,0,49,55,89.1,5,41,0,0,0,17.0,RM,1,1,1,0,0,0,0,,0,3,0,3,3,4,2,0,17.0,RM,1,0,0,3,1,0,1,3,1,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
6,Juan Mata,8.0,es ESP,"RW,RM",30-104,90,0,1,0,0,1,0,0,0,66,1,3,0,0.1,0.1,0.2,3,1,48,61,78.7,5,40,2,2,2,8.0,"RW,RM",1,0,0,1,0,0,0,,0,0,0,0,3,4,0,0,8.0,"RW,RM",0,0,0,0,0,0,5,3,0,0,0,0,9,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,0
7,Luke Shaw,23.0,eng ENG,LB,23-029,90,1,0,0,0,2,2,0,0,96,3,1,2,0.2,0.2,0.0,3,1,68,81,84.0,5,37,2,1,1,23.0,LB,3,1,2,1,0,3,3,100.0,0,2,1,1,1,4,6,0,23.0,LB,0,0,0,0,0,0,0,1,1,0,0,0,8,1,3,25.0,,,,,,,,,,,,,,,,,,,,,1,0
8,Marcus Rashford,10.0,eng ENG,FW,20-283,66,0,0,0,0,0,0,0,0,33,3,0,1,0.0,0.0,0.0,0,0,17,21,81.0,0,11,2,1,0,10.0,FW,3,3,0,2,1,0,0,,0,1,0,1,0,3,4,0,10.0,FW,0,0,0,0,1,1,1,0,3,0,0,0,3,0,2,0.0,,,,,,,,,,,,,,,,,,,,,1,0
9,Marouane Fellaini,27.0,be BEL,CM,30-261,7,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,27.0,CM,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,27.0,CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,0
10,Matteo Darmian,36.0,it ITA,RB,28-251,90,0,0,0,0,1,1,0,0,53,5,2,2,0.0,0.0,0.0,0,0,33,41,80.5,0,20,4,0,0,36.0,RB,5,3,3,2,0,1,4,25.0,3,2,0,2,2,7,3,0,36.0,RB,0,0,0,1,0,0,0,2,3,0,0,0,4,1,1,50.0,,,,,,,,,,,,,,,,,,,,,1,0
11,Paul Pogba,6.0,fr FRA,LM,25-148,83,1,0,1,1,1,1,0,0,80,2,0,1,0.8,0.0,0.0,3,0,54,69,78.3,5,42,3,7,6,6.0,LM,2,0,0,1,1,1,3,33.3,2,1,1,0,0,2,2,0,6.0,LM,0,0,0,1,1,0,1,0,0,0,0,0,7,2,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
12,Romelu Lukaku,9.0,be BEL,FW,25-089,24,0,0,0,0,1,1,0,0,7,1,0,0,0.4,0.4,0.0,0,0,4,5,80.0,0,4,0,0,0,9.0,FW,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,9.0,FW,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,33.3,,,,,,,,,,,,,,,,,,,,,1,0
13,Scott McTominay,39.0,sct SCO,"CM,RM",21-245,15,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,5,0,0,0,39.0,"CM,RM",0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,39.0,"CM,RM",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,,,,,,,,,,,,,,,,,,,,,1,0
0,14 Players,,,,,990,1,0,0,0,13,4,1,0,702,14,12,8,1.8,1.8,0.8,24,2,475,598,79.4,55,476,24,18,9,,,14,11,3,6,5,3,14,21.4,11,8,1,7,12,26,14,0,,,1,0,0,8,11,2,27,12,11,0,1,0,62,13,9,59.1,,,,,,,,,,,,,,,,,,,,,0,0
1,Adrien Silva,23.0,pt POR,DM,29-148,79,0,0,0,0,0,0,0,0,85,2,1,1,0.0,0.0,0.0,1,0,66,77,85.7,10,64,0,0,0,23.0,DM,2,2,0,1,1,0,2,0.0,2,1,0,1,1,3,0,0,23.0,DM,0,0,0,0,1,0,0,1,2,0,0,0,5,0,2,0.0,,,,,,,,,,,,,,,,,,,,,0,0
2,Ben Chilwell,3.0,eng ENG,LB,21-232,90,0,0,0,0,0,0,0,0,73,1,1,1,0.0,0.0,0.2,4,0,48,65,73.8,6,50,8,3,1,3.0,LB,1,0,1,0,0,0,0,,0,1,0,1,1,2,1,0,3.0,LB,0,0,0,0,2,0,8,1,0,0,0,0,6,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
3,Daniel Amartey,18.0,gh GHA,RB,23-232,62,0,0,0,0,0,0,1,0,48,1,1,0,0.0,0.0,0.0,1,0,34,41,82.9,4,29,2,0,0,18.0,RB,1,1,0,0,1,1,2,50.0,1,0,0,0,1,2,2,0,18.0,RB,1,0,0,2,1,0,0,1,1,0,1,0,4,1,2,33.3,,,,,,,,,,,,,,,,,,,,,0,0
4,Demarai Gray,7.0,jm JAM,LW,22-043,90,0,0,0,0,3,1,0,0,53,2,2,0,0.2,0.2,0.0,2,0,30,43,69.8,4,40,5,6,5,7.0,LW,2,2,0,0,2,0,0,,0,0,0,0,2,4,1,0,7.0,LW,0,0,0,0,3,0,4,2,2,0,0,0,4,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
5,Harry Maguire,15.0,eng ENG,CB,25-158,90,0,0,0,0,0,0,0,0,65,0,0,0,0.0,0.0,0.0,2,0,55,60,91.7,9,48,1,0,0,15.0,CB,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,15.0,CB,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,50.0,,,,,,,,,,,,,,,,,,,,,0,0
6,James Maddison,10.0,eng ENG,AM,21-260,62,0,0,0,0,2,1,0,0,50,0,1,0,0.1,0.1,0.0,2,0,29,43,67.4,3,35,2,2,1,10.0,AM,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,10.0,AM,0,0,0,0,4,1,6,1,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
7,Jamie Vardy,9.0,eng ENG,FW,31-211,28,1,0,0,0,2,1,0,0,6,0,0,0,1.2,1.2,0.1,1,0,3,4,75.0,0,3,0,0,0,9.0,FW,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9.0,FW,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,50.0,,,,,,,,,,,,,,,,,,,,,0,0
8,Kasper Schmeichel,1.0,dk DEN,GK,31-278,90,0,0,0,0,1,0,0,0,31,0,0,0,0.1,0.1,0.0,0,0,20,27,74.1,0,19,0,0,0,1.0,GK,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1.0,GK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,6.0,2.0,4.0,83.3,2.4,5.0,9.0,55.6,22.0,8.0,22.7,31.4,4.0,100.0,66.3,9.0,0.0,0.0,2.0,28.0,0,0
9,Kelechi Iheanacho,8.0,ng NGA,"FW,AM",21-311,90,0,0,0,0,2,0,0,0,30,1,0,0,0.1,0.1,0.0,2,1,18,19,94.7,1,20,0,1,0,8.0,"FW,AM",1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,8.0,"FW,AM",0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,0,0
10,Rachid Ghezzal,31.0,dz ALG,RW,26-093,28,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,1,0,10,15,66.7,1,13,1,3,1,31.0,RW,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,31.0,RW,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,0,0
