index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,home,game_id
0,15 Players,,,,,990,0.0,0.0,0.0,0.0,10.0,2.0,1.0,0.0,726.0,18.0,8.0,10.0,1.2,1.2,1.1,18.0,0.0,514.0,609.0,84.4,34.0,524.0,20.0,29.0,16.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1,0
1,Cheick Doucouré,28.0,ml MLI,DM,22-209,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,32.0,34.0,94.1,6.0,25.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,0
2,Eberechi Eze,10.0,eng ENG,AM,24-037,85,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,55.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,32.0,41.0,78.0,0.0,34.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,9.0,1,0
3,Jean-Philippe Mateta,14.0,fr FRA,FW,25-038,33,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,8.0,10.0,80.0,0.0,8.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,4.0,1,0
4,Jeffrey Schlupp,15.0,gh GHA,DM,29-225,85,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,53.0,4.0,1.0,2.0,0.2,0.2,0.0,1.0,0.0,30.0,35.0,85.7,2.0,36.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1,0
5,Joachim Andersen,16.0,dk DEN,CB,26-066,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,6.0,2.0,0.0,0.0,0.0,0.1,2.0,0.0,93.0,107.0,86.9,2.0,89.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,0
6,Jordan Ayew,9.0,gh GHA,"RW,AM",30-328,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,2.0,0.0,0.0,0.1,0.1,0.1,7.0,0.0,27.0,34.0,79.4,0.0,34.0,5.0,9.0,6.0,,,,,,,,,,,,,,,,,,,,,0.0,6.0,1,0
7,Luka Milivojević,4.0,rs SRB,DM,31-120,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,3.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1,0
8,Malcolm Ebiowei,23.0,eng ENG,RW,18-335,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,5.0,1,0
9,Marc Guéhi,6.0,eng ENG,CB,22-023,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,93.0,105.0,88.6,6.0,94.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2.0,1,0
10,Nathaniel Clyne,17.0,eng ENG,RB,31-122,90,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,73.0,0.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,59.0,68.0,86.8,8.0,48.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,8.0,1,0
11,Odsonne Édouard,22.0,fr FRA,FW,24-201,57,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,3.0,6.0,50.0,0.0,12.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1,0
12,Tyrick Mitchell,3.0,eng ENG,LB,22-338,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,66.0,75.8,4.0,49.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,9.0,5.0,1,0
13,Vicente Guaita,13.0,es ESP,GK,35-207,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,39.0,94.9,0.0,31.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.3,7.0,9.0,77.8,35.0,2.0,22.9,25.7,4.0,25.0,29.5,9.0,1.0,11.1,2.0,15.4,2.0,1.0,1,0
14,Wilfried Zaha,11.0,ci CIV,LW,29-268,90,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.1,0.1,0.6,3.0,0.0,30.0,39.0,76.9,2.0,44.0,7.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1,0
15,Will Hughes,19.0,eng ENG,DM,27-110,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,18.0,56.0,1,0
0,14 Players,,,,,990,1.0,1.0,0.0,0.0,10.0,2.0,2.0,0.0,599.0,29.0,9.0,17.0,1.0,1.0,0.6,18.0,2.0,378.0,469.0,80.6,40.0,359.0,15.0,17.0,13.0,,,,,,,,,,,,,,,,,,,,,0.0,4.0,0,0
1,Aaron Ramsdale,1.0,eng ENG,GK,24-083,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,75.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,2.0,100.0,0.3,8.0,15.0,53.3,30.0,4.0,46.7,36.5,2.0,50.0,43.5,16.0,2.0,12.5,1.0,15.7,0.0,1.0,0,0
2,Albert Sambi Lokonga,23.0,be BEL,"CM,RW",22-287,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0,0
