Rk;Player;Nation;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
1;Brenden Aaronson;us USA;Leeds United;24-343;2000;6;3;331;03.jul;0;0;0;0;0;0;1;0;0.7;0.7;0.7;01.mar;5;10;17;0.00;0.00;0.00;0.00;0.00;0.18;0.19;0.36;0.18;0.36;Matches
2;Joshua Acheampong;eng ENG;Chelsea;19-148;2006;2;1;126;01.apr;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;3;0;0.00;0.00;0.00;0.00;0.00;0.07;0.00;0.07;0.07;0.07;Matches
3;Tyler Adams;us USA;Bournemouth;26-228;1999;6;6;529;05.sep;0;0;0;0;0;0;3;0;0.1;0.1;0.0;0.2;0;19;4;0.00;0.00;0.00;0.00;0.00;0.02;0.01;0.03;0.02;0.03;Matches
4;Tosin Adarabioyo;eng ENG;Chelsea;28-006;1997;4;3;353;03.sep;0;0;0;0;0;0;1;0;0.0;0.0;0.0;0.0;2;15;0;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01;0.01;0.01;Matches
5;Simon Adingra;ci CIV;Sunderland;23-272;2002;5;3;238;02.jun;0;0;0;0;0;0;1;0;0.1;0.1;0.5;0.6;6;2;31;0.00;0.00;0.00;0.00;0.00;0.05;0.19;0.25;0.05;0.25;Matches
6;Amine Adli;ma MAR;Bournemouth;25-143;2000;5;1;148;01.jun;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.3;3;5;17;0.00;0.00;0.00;0.00;0.00;0.06;0.11;0.17;0.06;0.17;Matches
7;Emmanuel Agbadou;ci CIV;Wolves;28-105;1997;6;5;495;05.mai;0;0;0;0;0;0;0;0;0.4;0.4;0.1;0.5;3;25;4;0.00;0.00;0.00;0.00;0.00;0.07;0.02;0.09;0.07;0.09;Matches
8;Nayef Aguerd;ma MAR;West Ham;29-184;1996;2;2;180;2.0;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;2;9;0;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05;Matches
9;Ola Aina;ng NGA;Nott'ham Forest;28-357;1996;3;3;270;3.0;0;0;0;0;0;0;1;0;0.0;0.0;0.1;0.2;5;11;8;0.00;0.00;0.00;0.00;0.00;0.01;0.05;0.06;0.01;0.06;Matches
10;Rayan Aït-Nouri;dz ALG;Manchester City;24-116;2001;3;3;203;02.mar;0;0;0;0;0;0;1;0;0.0;0.0;0.2;0.2;6;7;8;0.00;0.00;0.00;0.00;0.00;0.02;0.09;0.11;0.02;0.11;Matches
