index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att (GK),Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Clr,Recov,xA,xGC,home,game_id
0,16 Players,,,,,990,4,3,0,0,19,10,1,0,679,16,4,14,2.2,2.2,2.0,36,7,430,539,79.8,40,370,24,21,8,,,,,,,,,,,,,,,,,,,,,1,0,0.0,3.4000000000000004,1,0
1,Alexis Mac Allister,10.0,ar ARG,DM,26-234,71,0,1,0,0,1,1,0,0,60,3,1,1,0.0,0.0,0.5,3,1,40,47,85.1,4,34,1,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0.0,3.4000000000000004,1,0
2,Alisson,1.0,br BRA,GK,32-317,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,1,1,37,42,88.1,2,29,0,0,0,3.0,2.0,1.0,33.3,0.8,6.0,11.0,54.5,41.0,4.0,26.8,31.7,1.0,0.0,5.0,16.0,1.0,6.3,0.0,7.0,1,6,0.4,3.4000000000000004,1,0
3,Andrew Robertson,26.0,sct SCO,LB,31-157,31,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,1,0,10,14,71.4,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,0,9,0.1,3.4000000000000004,1,0
4,Cody Gakpo,18.0,nl NED,"LW,LM",26-100,90,1,0,0,0,3,2,0,0,54,1,0,1,0.2,0.2,0.5,3,0,23,33,69.7,5,32,6,10,2,,,,,,,,,,,,,,,,,,,,,1,6,0.3,3.4000000000000004,1,0
5,Curtis Jones,17.0,eng ENG,CM,24-197,19,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,9,12,75.0,3,9,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0.0,3.4000000000000004,1,0
6,Dominik Szoboszlai,8.0,hu HUN,"DM,FW",24-294,90,0,0,0,0,3,1,0,0,92,4,0,2,0.1,0.1,0.2,5,1,67,78,85.9,3,60,3,3,1,,,,,,,,,,,,,,,,,,,,,0,2,0.0,3.4000000000000004,1,0
7,Federico Chiesa,14.0,it ITA,FW,27-294,9,1,0,0,0,1,1,0,0,6,1,0,0,0.2,0.2,0.0,0,0,3,3,100.0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,1,0.0,3.4000000000000004,1,0
8,Florian Wirtz,7.0,de GER,"AM,FW",22-104,81,0,0,0,0,1,0,0,0,68,2,0,2,0.1,0.1,0.3,8,0,42,58,72.4,7,37,2,0,0,,,,,,,,,,,,,,,,,,,,,2,5,0.1,3.4000000000000004,1,0
9,Hugo Ekitike,22.0,fr FRA,FW,23-056,71,1,1,0,0,4,2,0,0,30,0,0,0,1.1,1.1,0.1,4,2,14,21,66.7,3,16,2,2,1,,,,,,,,,,,,,,,,,,,,,5,5,0.0,3.4000000000000004,1,0
10,Ibrahima Konaté,5.0,fr FRA,CB,26-082,90,0,0,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.0,0,0,29,33,87.9,2,22,2,2,2,,,,,,,,,,,,,,,,,,,,,2,0,0.0,3.4000000000000004,1,0
